3,4.38,40,lb,Solar salt
1,9.26,150,count,Kitch trash-13 gal.
1,11.72,120,,Heavy-duty out trash
0,9.84,1000,,Napkins
1,18.88,30,,Scotts Toilet Paper
1,14.88,500,sqft,Aluminum Foil-Reynolds 12in
0,21.86,750,sqft,Aluminum Foil-Generic 18in
1,12.67,300,,Clorox Wipes
1,10.62,200,oz,Clorox spray clean-up 
0,,500,,Deli wrap wax pap-12x11
2,,,,"Laundry detergent, ERA"
0,4.02,40,,Tortillas
2,5,2,,Bread
1,3.52,1,lb,Feta cheese
0,9.83,24,oz,Fresh shred parm
0,14.64,32,oz,Fresh grated Romano
,,,,Provolone
0,4.88,2,lb,blueberries
2,3.98,1,lb,Spinach-organic
,,,,Lemons
1,4.14,6,,Romaine
1,,,,Avocado
0,2.54,5,lb,Carrots
1,,2,,Cucumbers
1,5.98,5,lb,Gala apples
2,1.48,3,lb,Bananas
1,,,,Tomatoes
0,,,,Steaks
0,,,,Chix breast-froz
1,6.88,72,oz,Asian froz veg stirfry
,,,,"Broccoli, frozen"
1,,,,Green beans
0,5.82,3,lb,Hot dogs
2,7.58,4,lb,Frozen blueberries
2,8.26,5,lb,Frozen strawberries
0,7.48,3,lb,Frozen berries
0,4.77,5,quart,Ice cream-vanilla or neapolitan
1,10.88,5,lb,Shred mozz
0,5.67,2,lb,Shred mexican
,,,,Sparking cider
1,3.98,35,,Water
1,3.77,3,lb,Sour cream
0,3.92,3,lb,Cottage cheese
0,4.38,3,lb,Cream cheese
2,2.99,1,gallon,Milk
2,9.62,4,lb,Butter
1,10.09,,,Pecans
1,10.98,3,lb,Walnuts
1,9.24,2,lb,Mixed nuts
1,11.18,3,lb,Almonds
2,6.98,4,lb,Raisins
1,6.98,,,Craisins
1,8.98,72,oz,Choc chips
0,4.26,1,gallon,Dill pickles
0,18.88,4.5,lb,grated Parm
,,,,Basmati rice
1,14.88,3,L ,Olive oil
0,2.98,2,,Shopping bags
0,4.58,7,lb,Light brown sugar
0,4.79,10,lb,Sugar
1,3.47,2,lb,Garlic
